dbn,school_name,num of sat test takers,sat critical reading avg. score,sat math avg. score,sat writing avg. score,avg_sat_score,ap test takers,total exams taken,number of exams with scores 3 4 or 5,exams_per_student,high_score_percent,avg_class_size,frl_percent,total_enrollment,ell_percent,sped_percent,selfcontained_num,asian_per,black_per,hispanic_per,white_per,male_per,female_per,total cohort,grads_percent,dropout_percent,boro,lat,long,d75,studentssurveyed,schooltype,rr_s,rr_t,rr_p,nr_s,nr_t,nr_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
11X542,PELHAM PREPARATORY ACADEMY,76,431,438,419,1288,46,57,17,1.2391304347826086,29.82456140350877,27,61,507,2.2,14.2,29,2.4,40.2,49.7,6.9,48.1,51.9,111,89.2,3.6,Bronx,40.8596983160004,-73.86074140399967,0,Yes,High School,92,100,62,473,27,471,8.7,8.3,8.2,8.6,7.2,8.1,7.5,8.2,6.4,5.6,6.4,7.6,7.4,7.4,7.4,8.1
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365,1126,2.5,NA,NA,NA,NA,26,71.9,479,10.2,21.3,34,1,37.2,59.9,1,55.3,44.7,118,60.2,2.5,Bronx,40.8757542110004,-73.86138783399963,0,Yes,High School,67,85,75,438,26,429,8.7,7.7,7.8,7.8,7.5,7.5,7.8,8.1,6.7,5.6,6.5,7,7.6,6.9,7.4,7.6
11X545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382,1163,2.5,NA,NA,NA,NA,21,45.6,416,14.7,25.7,45,2.2,23.8,72.6,1.2,82.5,17.5,70,88.6,4.3,Bronx,40.8757542110004,-73.86138783399963,0,Yes,High School,86,83,35,357,24,347,7.6,7.1,6.9,7.3,6.3,6,6.4,6.7,5.6,5.5,5.5,6.4,6.5,6.2,6.3,6.8
12X245,NEW DAY ACADEMY,25,348,344,354,1046,2.5,NA,NA,NA,NA,20,87,191,11,23,19,1,45.5,53.4,0,48.2,51.8,72,27.8,25,NA,NA,NA,0,Yes,Middle / High School,71,91,33,301,32,284,8,7.5,7.4,7.5,7.1,7,7.1,7.2,6,5.9,6.5,7.1,7,6.8,7,7.3
12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341,1055,25,25,NA,1,NA,23,86.6,339,21.8,20.9,16,1.8,24.2,72.9,0.9,54,46,104,71.2,12.5,Bronx,40.825226060000404,-73.89394988899966,0,Yes,High School,79,62,16,313,26,289,8.9,8.5,7.9,8.6,7.4,6.9,6.5,7.4,6.8,6,6.6,7.1,7.7,7.1,7,7.7
12X251,EXPLORATIONS ACADEMY,57,381,381,360,1122,2.5,NA,NA,NA,NA,21,76.4,362,19.9,21.3,19,1.7,31.2,65.5,1.4,50.8,49.2,69,72.5,17.4,Bronx,40.83593732800045,-73.89046769299966,0,Yes,High School,65,62,27,359,26,336,8.3,8,7.8,8.1,6.5,5.7,6.2,7.3,6.9,6.5,7.1,7.7,7.2,6.7,7,7.7
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,360,1074,2.5,NA,NA,NA,NA,26,61.9,260,10,28.1,29,1.2,39.2,57.7,0.8,24.6,75.4,113,45.1,18.6,NA,NA,NA,0,Yes,High School,64,96,51,340,25,344,8.5,7.7,7.6,7.4,5.9,4.5,5,5.8,6,5.6,6.4,7,6.8,5.9,6.3,6.7
12X267,BRONX LATIN,36,408,432,411,1251,2.5,NA,NA,NA,NA,22,79.3,418,13.6,21.5,34,0.2,25.6,73.2,1,49.8,50.2,2,NA,NA,Bronx,40.8277639790004,-73.90038681299967,0,Yes,Middle / High School,99,100,87,343,33,315,8.2,7.6,7.3,8,7.9,7.5,7.3,8.5,8.5,8.4,8.6,9.1,8.2,7.8,7.7,8.5
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,358,1102,32,37,NA,1.15625,NA,27,86.2,619,11.6,24.1,40,1.9,29.4,68.3,0.2,53,47,74,67.6,12.2,Bronx,40.8369534260004,-73.88796175799968,0,Yes,Middle / High School,66,58,18,606,48,557,8.2,7.8,7.5,8,7.3,7.7,8,8.2,6.8,6.4,6.9,7.7,7.4,7.3,7.5,7.9
12X278,PEACE AND DIVERSITY ACADEMY,34,390,401,364,1155,8,8,NA,1,NA,21,78.8,231,13.9,17.3,12,1.7,43.7,53.7,0.9,45,55,96,49,15.6,Bronx,40.825226060000404,-73.89394988899966,0,Yes,High School,89,67,92,266,24,267,9.1,8.5,8.4,8.7,6.5,5.3,6.5,7,8.6,8.6,8.3,9.1,8.1,7.4,7.7,8.2
